"seqnames","start","end","width","strand","no.cpgs","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","overlapping.genes"
"chr20",3065343,3066643,1301,"*",9,1.95569336886829e-17,2.9583644429614e-09,0.0315305956122455,1.39507350820856e-10,0.0912297133739067,0.0544291254010085,"AVP"
"chr13",113655468,113656424,957,"*",7,3.32760997832296e-17,2.9583644429614e-09,0.0312020401606509,1.78686756291922e-09,0.135064921536824,0.0614463562739541,"MCF2L"
"chr14",24640947,24642317,1371,"*",14,3.76863788338144e-17,2.06352267149909e-12,0.0338248211684699,5.45156631419183e-11,0.100362757607818,0.055515598016423,"REC8"
"chr17",64300729,64301327,599,"*",3,5.88445630118021e-13,1.79282291243185e-08,0.0270578755450496,9.26716469973111e-08,-0.157756701153264,-0.136339900931309,"PRKCA"
"chr18",13611370,13611824,455,"*",7,7.74447705443559e-12,5.57971784627403e-10,0.0336421638015695,1.07527502831838e-08,0.096485694528611,0.0709934586083209,"LDLRAD4"
"chr2",65216295,65217623,1329,"*",7,1.03366486722306e-11,2.41091493465428e-07,0.0335965360586551,3.1248113027099e-07,0.179383041233918,0.0724564975274812,"SLC1A4"
"chr2",225265371,225266876,1506,"*",13,3.96225238351685e-11,7.64729777960119e-09,0.0347154800184784,5.81987615569786e-08,0.108753024160618,0.0523142687368471,"FAM124B"
"chr16",85478580,85479803,1224,"*",9,6.08208338088605e-11,7.78256919622983e-05,0.0338248211684699,1.37218637505865e-06,0.114585804161725,0.0508699177046091,NA
"chr5",76115309,76116535,1227,"*",8,6.17140511345178e-11,4.46160050506517e-07,0.0335965360586551,4.87865708852066e-07,0.0861298444069778,0.051537028019694,"F2RL1"
"chr10",130831384,130832393,1010,"*",5,6.65740590321193e-11,0.000315882971600895,0.0315305956122455,1.53507397525943e-05,0.189121684256632,0.0905519263961473,NA
"chr16",14397074,14397892,819,"*",8,1.07743788976869e-10,2.9583644429614e-09,0.0349990396727839,4.68566442006153e-08,0.0885466979066042,0.0606516620820925,"RP11-65J21.3, MIR193B"
"chr19",35818807,35820181,1375,"*",7,7.13758628043987e-10,6.11278304266675e-08,0.0338248211684699,3.59249828926314e-07,0.104017104465791,0.0668856186097151,"CD22"
"chr22",36236303,36236760,458,"*",6,1.0811162782877e-09,7.64729777960119e-09,0.0339302462434587,1.79972730774954e-07,0.0905989729687207,0.0715955783366211,"RBFOX2"
"chr12",111618925,111619455,531,"*",8,2.37683527199026e-09,4.08833380232631e-08,0.0339302462434587,4.50500489613736e-07,0.115400131699737,0.055491046517907,"CUX2"
"chr1",870791,872737,1947,"*",12,1.26245628455957e-08,1.03689012285396e-07,0.0362381157623027,4.74736795741626e-07,-0.133519387127892,-0.0684493549207346,"SAMD11"
"chr17",6898738,6900356,1619,"*",16,1.3607443079242e-08,6.09312456072743e-07,0.0391207405076626,2.51544445475871e-06,0.125261849476301,0.0630302317520365,"ALOX12, AC027763.2, RP11-589P10.7"
"chr2",68591915,68592737,823,"*",6,7.0341669821085e-08,0.00260114108646689,0.0338248211684699,5.50272068039304e-05,0.100189866286934,0.0525260831422782,"PLEK, AC015969.3"
"chr17",57915665,57918682,3018,"*",11,1.08435415510264e-07,6.56718527481799e-15,0.0339302462434587,2.5681503735237e-12,-0.1603580834505,-0.124432549203083,"VMP1, MIR21"
"chr1",24239771,24240069,299,"*",5,1.61940131356112e-07,4.46160050506517e-07,0.0339302462434587,4.20003272340536e-06,0.0814692203948926,0.0671476005381323,"CNR2"
"chr1",2080081,2080710,630,"*",2,1.88055872194725e-07,2.29289370997384e-05,0.0312020401606509,4.7076161730865e-05,-0.157202285595429,-0.120373596752807,"PRKCZ"
"chr17",25798202,25799447,1246,"*",9,2.16857123795593e-07,2.57606219834955e-05,0.0362381157623027,4.37478634625576e-05,-0.14403129152075,-0.073578003445845,"KSR1"
"chr5",139016870,139017942,1073,"*",6,3.17899047142384e-07,2.42278620361154e-07,0.0356216973719488,2.19842701694867e-06,0.0854770915458168,0.0640856355787288,NA
"chr15",29212889,29213860,972,"*",8,4.73395161287902e-07,5.19111162322542e-07,0.0371173127089644,7.04604488524327e-06,0.079309899713534,0.053946678981642,"APBA2"
"chr9",35649906,35650999,1094,"*",4,5.99168954446526e-07,1.11216116221294e-05,0.0335965360586551,2.70579829590683e-05,-0.150020420792492,-0.0732775278199443,"SIT1"
"chr11",2677341,2678450,1110,"*",3,9.70228384799536e-07,0.00213092464187,0.0315305956122455,0.000286353738249576,0.0901382655568022,0.0549618331318893,"KCNQ1, KCNQ1OT1"
"chr11",2502181,2503306,1126,"*",3,9.96885677124465e-07,0.0212551018005812,0.0312020401606509,0.000491481470552942,0.153379814073705,0.0909223528775165,"KCNQ1"
"chr1",2045682,2047581,1900,"*",7,1.04008577638247e-06,0.000108083417822693,0.0362381157623027,8.86618732635583e-05,-0.118575146183041,-0.0662109455840612,"PRKCZ"
"chr6",156717406,156718546,1141,"*",6,1.76140207066993e-06,1.97588549405726e-05,0.0362381157623027,4.53677100863205e-05,-0.0912676799646401,-0.0605918759690259,NA
"chr6",134496869,134497755,887,"*",11,1.89985791037076e-06,0.0016090745138564,0.0370693167330833,0.000256428531177581,0.0947014439304455,0.0517331852457507,"SGK1"
"chr11",113953462,113954170,709,"*",5,3.17437746391958e-06,0.000948696304315466,0.0338248211684699,0.000145180561190749,0.0905936646460041,0.0646126876079581,"ZBTB16"
