"seqnames","start","end","width","strand","no.cpgs","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","overlapping.genes"
"chr1",870791,872737,1947,"*",12,9.1000155476176e-13,1.05767548471498e-10,0.0903091776341781,4.81306726068555e-10,-0.128353670848935,-0.0682105053580693,"SAMD11"
"chr7",127910494,127912372,1879,"*",9,9.1000155476176e-13,8.33306932438751e-08,0.0848128963431323,4.63300476402369e-08,-0.168143754147881,-0.0711010936578448,NA
"chr2",241458886,241460664,1779,"*",9,1.93180212336779e-12,1.05767548471498e-10,0.0903091776341781,4.81306726068555e-10,-0.115302371179623,-0.0598504008811029,"ANKMY1"
"chr16",2652696,2653987,1292,"*",14,4.74256064438299e-12,7.81392581956163e-08,0.0903091776341781,9.1553044516211e-09,0.0937833659536386,0.048558474586509,"PDPK1, AC141586.5"
"chr7",1021631,1024022,2392,"*",14,3.89399885327521e-11,1.50128743501365e-06,0.081909766822494,4.62318601595698e-07,-0.123296417792241,-0.02704791490281,"CYP2W1"
"chr6",138892911,138894469,1559,"*",10,4.91757354486883e-10,5.21766590766472e-10,0.0943519472265106,2.18216459173742e-08,-0.0631156424947875,-0.040846882847342,"NHSL1"
"chr1",3566304,3569386,3083,"*",47,5.07236851827759e-10,8.74542938686548e-07,0.104041687338017,2.36872990477269e-06,-0.0744986985937699,-0.0201792514242544,"TP73, WRAP73"
"chr17",78682785,78683457,673,"*",5,5.82909931265489e-10,3.76040560390138e-09,0.0848128963431323,6.02988755490157e-08,0.12538453881161,0.100248967459977,"RPTOR"
"chr18",43651686,43652594,909,"*",13,1.93360871160682e-09,1.39027495315233e-05,0.0848128963431323,2.38049169219609e-06,-0.0398942611961428,-0.0170192535718107,"PSTPIP2"
"chr7",158045980,158047359,1380,"*",8,4.22758732622507e-09,2.57173731722889e-05,0.0906931901596496,2.38049169219609e-06,0.131586012571894,0.0643991523527088,"PTPRN2"
"chr13",37453429,37454023,595,"*",7,4.22758732622507e-09,0.00123318120178497,0.0848128963431323,6.24675731305635e-05,-0.094548504683807,-0.0372946093716116,"SMAD9"
"chr6",31237013,31241294,4282,"*",44,7.0979850657313e-09,5.21766590766472e-10,0.101461327269971,2.42825215486252e-11,-0.274815784339004,-0.032271574966004,"HLA-C"
"chr11",68780136,68782211,2076,"*",14,1.42455966056112e-08,1.72738688518603e-06,0.0903091776341781,2.36872990477269e-06,-0.108202866059992,-0.0280619750692871,"RP11-554A11.6, MRGPRF"
"chr6",30710200,30713442,3243,"*",78,3.14579144803222e-08,0.0220685163370001,0.104041687338017,0.00141138794525615,0.038441230793156,-0.00244010173393414,"XXbac-BPG252P9.10, FLOT1, IER3"
"chr1",39249315,39249664,350,"*",5,8.57852655936871e-08,2.22204990397579e-07,0.0903091776341781,2.38049169219609e-06,-0.121961648554143,-0.0873149188503344,NA
